,Sender,Titel,Genre,Sparte,Wochentag,Datum,Sendungsanfang,Sendungslänge,Sendungende
0,ZDF,ZDF.reportage  D 2020,Reportagereihe,Report,Mo,27.07.,2020-07-27 05:00:00,0 days 00:05:00.000000000,2020-07-27 05:05:00
1,PRO7,Undateable  USA 2015,Sitcom,Serie,Mo,27.07.,2020-07-27 05:00:00,0 days 00:19:00.000000000,2020-07-27 05:19:00
2,ARTE,Hindafing – Staffel 1  D 2017,Dramaserie,Serie,Mo,27.07.,2020-07-27 05:00:00,0 days 00:45:00.000000000,2020-07-27 05:45:00
3,SERVU,Das Wetterpanorama bei ServusTV  A,Nachrichten,,Mo,27.07.,2020-07-27 05:00:00,0 days 04:13:00.000000000,2020-07-27 09:13:00
4,SAT1G,Niedrig und Kuhnt – Kommissare ermitteln  D,Ermittlersoap,Unterhaltung,Mo,27.07.,2020-07-27 05:00:00,0 days 00:20:00.000000000,2020-07-27 05:20:00
5,PRO7M,Man vs. Food – Die XXL-Challenge!  USA 2009,Kochdoku,Unterhaltung,Mo,27.07.,2020-07-27 05:00:00,0 days 00:20:00.000000000,2020-07-27 05:20:00
6,ZDF,Filmgorillas  D,Film- und Serienmagazin,Unterhaltung,Mo,27.07.,2020-07-27 05:05:00,0 days 00:10:00.000000000,2020-07-27 05:15:00
7,RTL,Explosiv – Weekend  D,Boulevardmagazin,Unterhaltung,Mo,27.07.,2020-07-27 05:10:00,0 days 00:50:00.000000000,2020-07-27 06:00:00
8,TELE5,Digimon  Jap. 2002,Zeichentrickserie,Kinder  ab 8 Jahren,Mo,27.07.,2020-07-27 05:10:00,0 days 00:25:00.000000000,2020-07-27 05:35:00
9,CC,Ren & Stimpy  USA 1993,Zeichentrickserie,Kinder  ab 12 Jahren,Mo,27.07.,2020-07-27 05:14:00,0 days 00:23:00.000000000,2020-07-27 05:37:00
10,ZDF,Menschen – das Magazin  D,Magazin,Report,Mo,27.07.,2020-07-27 05:15:00,0 days 00:15:00.000000000,2020-07-27 05:30:00
11,2NEO,Inspector Barnaby: Mord mit Groove  GB 2007,TV-Krimi,Spielfilm,Mo,27.07.,2020-07-27 05:15:00,0 days 01:35:00.000000000,2020-07-27 06:50:00
12,SIXX,Tagesfrau  D,Porträt,Unterhaltung,Mo,27.07.,2020-07-27 05:15:00,0 days 00:05:00.000000000,2020-07-27 05:20:00
13,RTLPL,Das Jugendgericht,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 05:15:00,0 days 00:45:00.000000000,2020-07-27 06:00:00
14,PRO7,New Girl  USA 2017,Sitcom,Serie,Mo,27.07.,2020-07-27 05:19:00,0 days 00:21:00.000000000,2020-07-27 05:40:00
15,3SAT,New York von oben  USA 2017,Dokuserie,Report,Mo,27.07.,2020-07-27 05:19:00,0 days 00:46:00.000000000,2020-07-27 06:05:00
16,VOX,CSI: NY  USA 2005,Krimiserie,Serie,Mo,27.07.,2020-07-27 05:20:00,0 days 00:40:00.000000000,2020-07-27 06:00:00
17,RTL-N,Das Strafgericht  D,Gerichtsshow,Unterhaltung,Mo,27.07.,2020-07-27 05:20:00,0 days 00:45:00.000000000,2020-07-27 06:05:00
18,SIXX,Tagesfrau  D,Porträt,Unterhaltung,Mo,27.07.,2020-07-27 05:20:00,0 days 00:15:00.000000000,2020-07-27 05:35:00
19,SAT1G,K 11 – Kommissare im Einsatz  D,Ermittlersoap,Unterhaltung,Mo,27.07.,2020-07-27 05:20:00,0 days 00:25:00.000000000,2020-07-27 05:45:00
20,PRO7M,Man vs. Food – Die XXL-Challenge!  USA 2009,Kochdoku,Unterhaltung,Mo,27.07.,2020-07-27 05:20:00,0 days 00:25:00.000000000,2020-07-27 05:45:00
